PID,Province,DID,District,Crop,Year,(Area in '000' Hectares),"(Production in ""000""Tonnes)"
1,Balochistan,11,Quetta,Wheat,1994-95,3.5,7.6
1,Balochistan,16,Sibi,Wheat,1994-95,16.4,35.7
1,Balochistan,134,Tomboo,Wheat,1994-95,0,0
1,Balochistan,135,Turbat,Wheat,1994-95,1.4,2.9
1,Balochistan,115,Zhob,Wheat,1994-95,2.7,4.8
1,Balochistan,110,Ziarat,Wheat,1994-95,0,0
1,Balochistan,125,Awaran,Wheat,1995-96,0,0
1,Balochistan,113,Barkhan,Wheat,1995-96,10.7,18.7
1,Balochistan,119,Bolan,Wheat,1995-96,11.1,28.5
1,Balochistan,15,Chagai,Wheat,1995-96,11.3,20.5
1,Balochistan,19,DERA BUGTI,Wheat,1995-96,6.1,9.6
1,Balochistan,129,Gwadar,Wheat,1995-96,0.1,0.1
1,Balochistan,117,JAFARABAD,Wheat,1995-96,79,211.3
1,Balochistan,120,JHAL MAGSI,Wheat,1995-96,12,27.1
1,Balochistan,128,KACHHI,Wheat,1995-96,0,0
1,Balochistan,123,Kalat,Wheat,1995-96,12.8,24.1
1,Balochistan,126,Kharan,Wheat,1995-96,21.5,26.9
1,Balochistan,124,Khuzdar,Wheat,1995-96,68,146.2
1,Balochistan,13,KILLA ABDULLAH,Wheat,1995-96,0,0
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1995-96,10,18.1
1,Balochistan,18,Kohlu,Wheat,1995-96,13,18.2
1,Balochistan,121,Lasbela,Wheat,1995-96,4,10.5
1,Balochistan,111,Loralai,Wheat,1995-96,17.9,33.8
1,Balochistan,122,Mastung,Wheat,1995-96,40.5,69.4
1,Balochistan,112,MUSA KHEL,Wheat,1995-96,1.7,2.8
1,Balochistan,118,NASEERABAD,Wheat,1995-96,59.5,158.9
1,Balochistan,130,PANJGUR,Wheat,1995-96,4.8,6.2
1,Balochistan,12,Pishin,Wheat,1995-96,22.5,47.6
1,Balochistan,11,Quetta,Wheat,1995-96,3.5,7.6
